"county","srprec","addist","cddist","sddist","bedist","TOTREG","DEMREG","REPREG","AIPREG","GRNREG","LIBREG","NLPREG","REFREG","DCLREG","MSCREG","TOTVOTE","DEMVOTE","REPVOTE","AIPVOTE","GRNVOTE","LIBVOTE","NLPVOTE","REFVOTE","DCLVOTE","MSCVOTE","PRCVOTE","ABSVOTE","ASSDEM01","ASSDEM02","ASSGRN01","ASSIND01","ASSLIB01","ASSREP01","ASSREP02","CNGDEM01","CNGDEM02","CNGREP01","PRSAIP01","PRSDEM01","PRSGRN01","PRSLIB01","PRSPAF01","PRSREP01","PR_14_N","PR_14_Y","PR_15_N","PR_15_Y","PR_16_N","PR_16_Y","PR_17_N","PR_17_Y","PR_18_N","PR_18_Y","PR_19_N","PR_19_Y","PR_20_N","PR_20_Y","PR_21_N","PR_21_Y","PR_22_N","PR_22_Y","PR_23_N","PR_23_Y","PR_24_N","PR_24_Y","PR_25_N","PR_25_Y","SENAIP01","SENDEM01","SENDEM02","SENLIB01","SENREP01"
"31","0361501","6","4","1","1","2544","0","0","0","0","0","0","0","0","0","2277","0","0","0","0","0","0","0","0","0","0","0","609","0","0","0","0","1555","0","660","0","1547","7","680","7","54","5","1476","1538","650","1766","435","1853","344","1523","687","1803","418","1456","713","984","1172","1868","314","515","1687","1832","351","1330","831","1634","527","0","587","0","0","1565"
"31","0361503","6","4","1","1","1772","0","0","0","0","0","0","0","0","0","1613","0","0","0","0","0","0","0","0","0","0","0","506","0","0","0","0","1044","0","585","0","979","6","623","4","32","2","908","1001","550","1182","393","1233","332","1038","533","1213","358","973","563","782","750","1275","281","422","1142","1235","307","899","631","1068","466","0","506","0","0","1031"
"31","0361504","6","4","1","1","152","0","0","0","0","0","0","0","0","0","139","0","0","0","0","0","0","0","0","0","0","0","56","0","0","0","0","74","0","65","0","70","0","64","0","5","0","68","81","55","98","39","105","31","71","64","95","42","84","51","65","69","111","25","42","93","111","23","77","58","86","45","0","58","0","0","71"
"31","0361510","6","4","1","1","126","0","0","0","0","0","0","0","0","0","116","0","0","0","0","0","0","0","0","0","0","0","34","0","0","0","0","77","0","36","0","77","0","38","0","0","0","77","78","35","83","30","89","22","80","35","88","26","74","37","42","69","81","31","26","87","86","24","74","39","86","26","0","33","0","0","79"
"31","0361511","6","4","1","1","2598","0","0","0","0","0","0","0","0","0","2352","0","0","0","0","0","0","0","0","0","0","0","710","0","0","0","0","1538","0","826","0","1456","6","827","4","40","3","1439","1553","708","1743","538","1837","445","1517","777","1789","502","1440","808","1139","1084","1871","396","597","1678","1814","438","1335","895","1607","627","0","696","0","0","1541"
"31","0361712","6","4","1","1","165","0","0","0","0","0","0","0","0","0","140","0","0","0","0","0","0","0","0","0","0","0","34","0","0","0","0","104","0","37","0","101","1","37","2","4","0","95","97","39","113","25","117","20","95","43","105","29","86","49","65","68","114","23","26","112","119","18","77","57","108","25","0","37","0","0","100"
"31","0361801","6","4","1","1","168","0","0","0","0","0","0","0","0","0","149","0","0","0","0","0","0","0","0","0","0","0","48","0","0","0","0","96","0","47","0","98","1","48","1","7","0","90","94","51","116","30","120","23","99","48","112","35","89","56","54","90","123","22","38","109","122","24","91","53","106","34","0","41","0","0","102"
"31","0460601","6","4","4","1","7738","0","0","0","0","0","0","0","0","0","6496","0","0","0","0","0","0","0","0","0","0","0","2757","0","0","0","0","3229","0","3075","0","3110","16","3082","25","111","13","3134","3389","2706","3982","2243","4352","1776","3427","2790","4263","1955","3140","2972","3342","2698","4192","1913","2107","4056","4372","1732","2930","3069","3767","2203","0","0","0","0","0"
"31","0460604","6","4","4","1","208","0","0","0","0","0","0","0","0","0","187","0","0","0","0","0","0","0","0","0","0","0","80","0","0","0","0","99","0","86","0","96","0","83","3","8","0","90","108","71","113","68","125","54","100","84","120","64","96","82","113","65","119","56","61","119","119","60","92","88","102","73","0","0","0","0","0"
"31","0460607","6","4","4","1","6390","0","0","0","0","0","0","0","0","0","5698","0","0","0","0","0","0","0","0","0","0","0","2080","0","0","0","0","3251","0","2336","0","3148","11","2379","15","86","9","3085","3391","2041","3878","1615","4117","1328","3348","2138","4119","1414","2944","2469","2741","2625","4157","1259","1576","3902","4218","1202","2881","2488","3702","1639","0","0","0","0","0"
